Lag1,Lag2,Lag3,Lag4,Lag5,Volume,Today,Direction
0.546,-1.055,1.299,0.511,0.386,1.0896,-0.94,0
-0.94,0.546,-1.055,1.299,0.511,0.7262,-0.836,0
-0.836,-0.94,0.546,-1.055,1.299,0.8701,0.116,1
0.116,-0.836,-0.94,0.546,-1.055,1.1365,-1.135,0
-1.135,0.116,-0.836,-0.94,0.546,1.0636,-1.75,0
-1.75,-1.135,0.116,-0.836,-0.94,1.2429,-0.452,0
-0.452,-1.75,-1.135,0.116,-0.836,1.63555,-0.488,0
-0.488,-0.452,-1.75,-1.135,0.116,1.1116,0.343,1
0.343,-0.488,-0.452,-1.75,-1.135,1.1849,0.871,1
0.871,0.343,-0.488,-0.452,-1.75,1.3501,1.136,1
1.136,0.871,0.343,-0.488,-0.452,1.54682,-0.945,0
-0.945,1.136,0.871,0.343,-0.488,1.1892,-0.551,0
-0.551,-0.945,1.136,0.871,0.343,1.0501,-0.151,0
-0.151,-0.551,-0.945,1.136,0.871,1.1989,-0.468,0
-0.468,-0.151,-0.551,-0.945,1.136,1.1621,1.249,1
1.249,-0.468,-0.151,-0.551,-0.945,1.3273,-0.148,0
-0.148,1.249,-0.468,-0.151,-0.551,1.83236,1.008,1
1.008,-0.148,1.249,-0.468,-0.151,1.1283,-0.184,0
-0.184,1.008,-0.148,1.249,-0.468,0.62211,-1.232,0
-1.232,-0.184,1.008,-0.148,1.249,0.9349,-2.35,0
-2.35,-1.232,-0.184,1.008,-0.148,1.0567,0.688,1
0.688,-2.35,-1.232,-0.184,1.008,1.0457,-1.44,0
-1.44,0.688,-2.35,-1.232,-0.184,1.2638,-0.113,0
-0.113,-1.44,0.688,-2.35,-1.232,1.3841,2.369,1
2.369,-0.113,-1.44,0.688,-2.35,1.394,0.624,1
0.624,2.369,-0.113,-1.44,0.688,1.1217,-1.088,0
-1.088,0.624,2.369,-0.113,-1.44,1.0398,0.997,1
0.997,-1.088,0.624,2.369,-0.113,1.2381,-0.554,0
-0.554,0.997,-1.088,0.624,2.369,1.3163,0.605,1
0.605,-0.554,0.997,-1.088,0.624,1.3435,-0.343,0
-0.343,0.605,-0.554,0.997,-1.088,1.1709,-1.637,0
-1.637,-0.343,0.605,-0.554,0.997,0.9869,-1.627,0
-1.627,-1.637,-0.343,0.605,-0.554,1.1987,1.608,1
1.608,-1.627,-1.637,-0.343,0.605,1.2807,1.045,1
1.045,1.608,-1.627,-1.637,-0.343,1.2139,0.24,1
0.24,1.045,1.608,-1.627,-1.637,1.0153,-0.108,0
-0.108,0.24,1.045,1.608,-1.627,0.9091,0.557,1
0.557,-0.108,0.24,1.045,1.608,1.1292,0.388,1
0.388,0.557,-0.108,0.24,1.045,1.3403,0.396,1
0.396,0.388,0.557,-0.108,0.24,1.2183,-0.524,0
-0.524,0.396,0.388,0.557,-0.108,0.9399,-1.142,0
-1.142,-0.524,0.396,0.388,0.557,0.8117,0.327,1
0.327,-1.142,-0.524,0.396,0.388,1.012,-1.733,0
-1.733,0.327,-1.142,-0.524,0.396,1.1246,-0.008,0
-0.008,-1.733,0.327,-1.142,-0.524,1.1042,0.569,1
0.569,-0.008,-1.733,0.327,-1.142,0.9609,0.095,1
0.095,0.569,-0.008,-1.733,0.327,0.8376,-0.383,0
-0.383,0.095,0.569,-0.008,-1.733,0.9646,-0.734,0
-0.734,-0.383,0.095,0.569,-0.008,1.0656,0.309,1
0.309,-0.734,-0.383,0.095,0.569,1.0554,-1.666,0
-1.666,0.309,-0.734,-0.383,0.095,0.9743,0.812,1
0.812,-1.666,0.309,-0.734,-0.383,0.8971,-1.208,0
-1.208,0.812,-1.666,0.309,-0.734,1.0416,0.696,1
0.696,-1.208,0.812,-1.666,0.309,1.1108,-0.276,0
-0.276,0.696,-1.208,0.812,-1.666,0.9862,1.965,1
1.965,-0.276,0.696,-1.208,0.812,1.0436,-0.483,0
-0.483,1.965,-0.276,0.696,-1.208,0.8426,-1.501,0
-1.501,-0.483,1.965,-0.276,0.696,0.9871,-1.115,0
-1.115,-1.501,-0.483,1.965,-0.276,0.9637,-1.7,0
-1.7,-1.115,-1.501,-0.483,1.965,1.157,0.403,1
0.403,-1.7,-1.115,-1.501,-0.483,0.9201,-0.056,0
-0.056,0.403,-1.7,-1.115,-1.501,1.1783,-0.106,0
-0.106,-0.056,0.403,-1.7,-1.115,1.3845,-2.239,0
-2.239,-0.106,-0.056,0.403,-1.7,1.3597,-1.864,0
-1.864,-2.239,-0.106,-0.056,0.403,1.4243,0.623,1
0.623,-1.864,-2.239,-0.106,-0.056,1.2766,-4.922,0
-4.922,0.623,-1.864,-2.239,-0.106,2.33083,-0.58,0
-0.58,-4.922,0.623,-1.864,-2.239,1.65041,-1.611,0
-1.611,-0.58,-4.922,0.623,-1.864,2.12055,-3.106,0
-3.106,-1.611,-0.58,-4.922,0.623,2.0048,-1.903,0
-1.903,-3.106,-1.611,-0.58,-4.922,2.3173,3.898,1
3.898,-1.903,-3.106,-1.611,-0.58,1.7466,0.879,1
0.879,3.898,-1.903,-3.106,-1.611,1.6138,-0.517,0
-0.517,0.879,3.898,-1.903,-3.106,1.5191,1.149,1
1.149,-0.517,0.879,3.898,-1.903,1.467,2.192,1
2.192,1.149,-0.517,0.879,3.898,1.6315,-0.23,0
-0.23,2.192,1.149,-0.517,0.879,1.1756,1.231,1
1.231,-0.23,2.192,1.149,-0.517,1.2898,1.993,1
1.993,1.231,-0.23,2.192,1.149,1.6506,-0.247,0
-0.247,1.993,1.231,-0.23,2.192,1.6091,0.164,1
0.164,-0.247,1.993,1.231,-0.23,1.3017,-0.834,0
-0.834,0.164,-0.247,1.993,1.231,0.979,-0.536,0
-0.536,-0.834,0.164,-0.247,1.993,1.2278,2.294,1
2.294,-0.536,-0.834,0.164,-0.247,1.3124,1.521,1
1.521,2.294,-0.536,-0.834,0.164,1.70458,-0.527,0
-0.527,1.521,2.294,-0.536,-0.834,1.3314,-0.153,0
-0.153,-0.527,1.521,2.294,-0.536,1.0247,0.694,1
0.694,-0.153,-0.527,1.521,2.294,1.2105,-1.863,0
-1.863,0.694,-0.153,-0.527,1.521,1.4522,-0.787,0
-0.787,-1.863,0.694,-0.153,-0.527,1.2629,0.456,1
0.456,-0.787,-1.863,0.694,-0.153,1.2949,1.53,1
1.53,0.456,-0.787,-1.863,0.694,1.1057,-0.47,0
-0.47,1.53,0.456,-0.787,-1.863,1.3173,0.039,1
0.039,-0.47,1.53,0.456,-0.787,1.3362,1.372,1
1.372,0.039,-0.47,1.53,0.456,1.3644,0.411,1
0.411,1.372,0.039,-0.47,1.53,1.2445,-2.382,0
-2.382,0.411,1.372,0.039,-0.47,1.1061,-1.717,0
-1.717,-2.382,0.411,1.372,0.039,1.2974,-0.001,0
-0.001,-1.717,-2.382,0.411,1.372,1.3525,2.295,1
2.295,-0.001,-1.717,-2.382,0.411,1.3174,0.286,1
0.286,2.295,-0.001,-1.717,-2.382,1.1219,1.439,1
1.439,0.286,2.295,-0.001,-1.717,1.2677,1.453,1
1.453,1.439,0.286,2.295,-0.001,1.356,-0.273,0
-0.273,1.453,1.439,0.286,2.295,1.4113,0.246,1
0.246,-0.273,1.453,1.439,0.286,1.5175,0.158,1
0.158,0.246,-0.273,1.453,1.439,1.0938,-0.177,0
-0.177,0.158,0.246,-0.273,1.453,0.9916,1.856,1
1.856,-0.177,0.158,0.246,-0.273,1.3701,0.186,1
0.186,1.856,-0.177,0.158,0.246,1.4434,0.09,1
0.09,0.186,1.856,-0.177,0.158,1.4545,-0.314,0
-0.314,0.09,0.186,1.856,-0.177,1.3374,1.09,1
1.09,-0.314,0.09,0.186,1.856,1.3168,-0.73,0
-0.73,1.09,-0.314,0.09,0.186,1.3302,-0.493,0
-0.493,-0.73,1.09,-0.314,0.09,1.0293,1.171,1
1.171,-0.493,-0.73,1.09,-0.314,0.4103,0.615,1
0.615,1.171,-0.493,-0.73,1.09,1.1298,-0.684,0
-0.684,0.615,1.171,-0.493,-0.73,1.288,-1.825,0
-1.825,-0.684,0.615,1.171,-0.493,1.4237,1.035,1
1.035,-1.825,-0.684,0.615,1.171,1.3757,-0.066,0
-0.066,1.035,-1.825,-0.684,0.615,1.3436,-0.838,0
-0.838,-0.066,1.035,-1.825,-0.684,1.2029,1.319,1
1.319,-0.838,-0.066,1.035,-1.825,1.3185,2.232,1
2.232,1.319,-0.838,-0.066,1.035,1.7653,-0.278,0
-0.278,2.232,1.319,-0.838,-0.066,1.4879,-0.753,0
-0.753,-0.278,2.232,1.319,-0.838,1.2482,-1.587,0
-1.587,-0.753,-0.278,2.232,1.319,1.2187,-0.278,0
-0.278,-1.587,-0.753,-0.278,2.232,1.3672,0.027,1
0.027,-0.278,-1.587,-0.753,-0.278,1.4497,-1.556,0
-1.556,0.027,-0.278,-1.587,-0.753,1.5115,0.331,1
0.331,-1.556,0.027,-0.278,-1.587,1.3068,1.003,1
1.003,0.331,-1.556,0.027,-0.278,1.2604,0.755,1
0.755,1.003,0.331,-1.556,0.027,1.354,0.581,1
0.581,0.755,1.003,0.331,-1.556,1.4849,-0.838,0
-0.838,0.581,0.755,1.003,0.331,1.4905,0.435,1
0.435,-0.838,0.581,0.755,1.003,1.694,-0.021,0
-0.021,0.435,-0.838,0.581,0.755,0.43967,0.412,1
0.412,-0.021,0.435,-0.838,0.581,0.7911,0.675,1
0.675,0.412,-0.021,0.435,-0.838,0.8763,0.336,1
0.336,0.675,0.412,-0.021,0.435,0.9174,-1.115,0
-1.115,0.336,0.675,0.412,-0.021,0.9436,0.574,1
0.574,-1.115,0.336,0.675,0.412,1.171,0.918,1
0.918,0.574,-1.115,0.336,0.675,1.3989,0.621,1
0.621,0.918,0.574,-1.115,0.336,1.513,-0.65,0
-0.65,0.621,0.918,0.574,-1.115,1.3083,-0.359,0
-0.359,-0.65,0.621,0.918,0.574,1.2588,-0.48,0
-0.48,-0.359,-0.65,0.621,0.918,1.452,0.122,1
0.122,-0.48,-0.359,-0.65,0.621,1.299,-0.947,0
-0.947,0.122,-0.48,-0.359,-0.65,1.2119,-0.628,0
-0.628,-0.947,0.122,-0.48,-0.359,1.2864,0.683,1
0.683,-0.628,-0.947,0.122,-0.48,1.3869,-1.625,0
-1.625,0.683,-0.628,-0.947,0.122,1.4825,1.003,1
1.003,-1.625,0.683,-0.628,-0.947,1.3801,-0.992,0
-0.992,1.003,-1.625,0.683,-0.628,1.3333,-0.733,0
-0.733,-0.992,1.003,-1.625,0.683,1.3116,0.792,1
0.792,-0.733,-0.992,1.003,-1.625,1.4792,0.352,1
0.352,0.792,-0.733,-0.992,1.003,1.5528,0.1,1
0.1,0.352,0.792,-0.733,-0.992,1.3451,-0.019,0
-0.019,0.1,0.352,0.792,-0.733,1.1868,-2.861,0
-2.861,-0.019,0.1,0.352,0.792,1.812,1.175,1
1.175,-2.861,-0.019,0.1,0.352,2.0196,1.493,1
1.493,1.175,-2.861,-0.019,0.1,1.557,-0.708,0
-0.708,1.493,1.175,-2.861,-0.019,1.3672,-2.474,0
-2.474,-0.708,1.493,1.175,-2.861,1.4376,-0.404,0
-0.404,-2.474,-0.708,1.493,1.175,1.7783,-0.597,0
-0.597,-0.404,-2.474,-0.708,1.493,1.6658,-0.308,0
-0.308,-0.597,-0.404,-2.474,-0.708,1.4416,1.486,1
1.486,-0.308,-0.597,-0.404,-2.474,1.3719,1.434,1
1.434,1.486,-0.308,-0.597,-0.404,1.1594,-0.399,0
-0.399,1.434,1.486,-0.308,-0.597,1.0942,0.994,1
0.994,-0.399,1.434,1.486,-0.308,1.2159,-0.181,0
-0.181,0.994,-0.399,1.434,1.486,1.2725,-1.102,0
-1.102,-0.181,0.994,-0.399,1.434,1.3592,-1.887,0
-1.887,-1.102,-0.181,0.994,-0.399,1.1899,1.351,1
1.351,-1.887,-1.102,-0.181,0.994,1.4389,-1.551,0
-1.551,1.351,-1.887,-1.102,-0.181,1.3816,0.822,1
0.822,-1.551,1.351,-1.887,-1.102,1.411,1.798,1
1.798,0.822,-1.551,1.351,-1.887,1.3674,-0.005,0
-0.005,1.798,0.822,-1.551,1.351,1.3092,0.046,1
0.046,-0.005,1.798,0.822,-1.551,1.3938,-0.285,0
-0.285,0.046,-0.005,1.798,0.822,1.3922,2.263,1
2.263,-0.285,0.046,-0.005,1.798,1.4565,1.949,1
1.949,2.263,-0.285,0.046,-0.005,1.5943,-0.667,0
-0.667,1.949,2.263,-0.285,0.046,1.5493,1.451,1
1.451,-0.667,1.949,2.263,-0.285,1.5413,-0.45,0
-0.45,1.451,-0.667,1.949,2.263,1.5174,0.585,1
0.585,-0.45,1.451,-0.667,1.949,1.412,0.339,1
0.339,0.585,-0.45,1.451,-0.667,1.2102,-0.229,0
-0.229,0.339,0.585,-0.45,1.451,1.3044,-0.986,0
-0.986,-0.229,0.339,0.585,-0.45,1.354,-0.091,0
-0.091,-0.986,-0.229,0.339,0.585,1.2088,1.138,1
1.138,-0.091,-0.986,-0.229,0.339,1.4939,-0.052,0
-0.052,1.138,-0.091,-0.986,-0.229,1.1695,0.407,1
0.407,-0.052,1.138,-0.091,-0.986,1.255,-1.576,0
-1.576,0.407,-0.052,1.138,-0.091,1.3049,0.151,1
0.151,-1.576,0.407,-0.052,1.138,1.3392,-0.424,0
-0.424,0.151,-1.576,0.407,-0.052,1.2433,-1.465,0
-1.465,-0.424,0.151,-1.576,0.407,1.0579,0.585,1
0.585,-1.465,-0.424,0.151,-1.576,1.2236,0.535,1
0.535,0.585,-1.465,-0.424,0.151,1.1801,0.246,1
0.246,0.535,0.585,-1.465,-0.424,1.1476,-0.074,0
-0.074,0.246,0.535,0.585,-1.465,1.0509,-0.853,0
-0.853,-0.074,0.246,0.535,0.585,1.1767,-0.999,0
-0.999,-0.853,-0.074,0.246,0.535,1.2197,0.084,1
0.084,-0.999,-0.853,-0.074,0.246,1.2838,-0.321,0
-0.321,0.084,-0.999,-0.853,-0.074,1.1102,0.228,1
0.228,-0.321,0.084,-0.999,-0.853,1.0953,-0.666,0
-0.666,0.228,-0.321,0.084,-0.999,1.2354,1.133,1
1.133,-0.666,0.228,-0.321,0.084,1.4479,-2.369,0
-2.369,1.133,-0.666,0.228,-0.321,1.5056,0.663,1
0.663,-2.369,1.133,-0.666,0.228,1.2821,-0.761,0
-0.761,0.663,-2.369,1.133,-0.666,1.1204,2.342,1
2.342,-0.761,0.663,-2.369,1.133,1.3413,-0.204,0
-0.204,2.342,-0.761,0.663,-2.369,1.3769,-0.142,0
-0.142,-0.204,2.342,-0.761,0.663,1.3593,0.062,1
0.062,-0.142,-0.204,2.342,-0.761,1.185,-1.541,0
-1.541,0.062,-0.142,-0.204,2.342,1.1818,-0.62,0
-0.62,-1.541,0.062,-0.142,-0.204,1.3885,-0.71,0
-0.71,-0.62,-1.541,0.062,-0.142,1.3732,-0.152,0
-0.152,-0.71,-0.62,-1.541,0.062,1.5174,-1.389,0
-1.389,-0.152,-0.71,-0.62,-1.541,1.3742,-1.01,0
-1.01,-1.389,-0.152,-0.71,-0.62,1.3147,1.077,1
1.077,-1.01,-1.389,-0.152,-0.71,1.6286,0.886,1
0.886,1.077,-1.01,-1.389,-0.152,1.4514,-0.175,0
-0.175,0.886,1.077,-1.01,-1.389,1.364,-1.026,0
-1.026,-0.175,0.886,1.077,-1.01,1.2845,-1.934,0
-1.934,-1.026,-0.175,0.886,1.077,1.1226,-0.302,0
-0.302,-1.934,-1.026,-0.175,0.886,1.3547,3.75,1
3.75,-0.302,-1.934,-1.026,-0.175,1.502,-1.455,0
-1.455,3.75,-0.302,-1.934,-1.026,1.153,-1.679,0
-1.679,-1.455,3.75,-0.302,-1.934,1.1719,1.855,1
1.855,-1.679,-1.455,3.75,-0.302,1.0886,2.114,1
2.114,1.855,-1.679,-1.455,3.75,1.4145,-0.566,0
-0.566,2.114,1.855,-1.679,-1.455,1.4202,0.656,1
0.656,-0.566,2.114,1.855,-1.679,1.2566,0.761,1
0.761,0.656,-0.566,2.114,1.855,1.2744,-1.329,0
-1.329,0.761,0.656,-0.566,2.114,0.9898,-1.099,0
-1.099,-1.329,0.761,0.656,-0.566,1.2005,0.569,1
0.569,-1.099,-1.329,0.761,0.656,1.1363,1.018,1
1.018,0.569,-1.099,-1.329,0.761,1.1929,-1.209,0
-1.209,1.018,0.569,-1.099,-1.329,0.8854,-0.855,0
-0.855,-1.209,1.018,0.569,-1.099,0.9965,-0.641,0
-0.641,-0.855,-1.209,1.018,0.569,1.0818,-0.281,0
-0.281,-0.641,-0.855,-1.209,1.018,1.2866,0.233,1
0.233,-0.281,-0.641,-0.855,-1.209,1.2773,-2.48,0
-2.48,0.233,-0.281,-0.641,-0.855,1.3243,0.001,1
0.001,-2.48,0.233,-0.281,-0.641,1.4666,0.885,1
0.885,0.001,-2.48,0.233,-0.281,1.3001,-1.976,0
-1.976,0.885,0.001,-2.48,0.233,1.6015,-0.157,0
-0.157,-1.976,0.885,0.001,-2.48,1.3413,0.312,1
0.312,-0.157,-1.976,0.885,0.001,1.2262,-1.663,0
-1.663,0.312,-0.157,-1.976,0.885,1.2124,0.657,1
0.657,-1.663,0.312,-0.157,-1.976,1.79572,-1.049,0
-1.049,0.657,-1.663,0.312,-0.157,1.4055,-0.227,0
-0.227,-1.049,0.657,-1.663,0.312,1.549,2.869,1
2.869,-0.227,-1.049,0.657,-1.663,1.2366,0.094,1
0.094,2.869,-0.227,-1.049,0.657,1.1931,-1.654,0
-1.654,0.094,2.869,-0.227,-1.049,1.3361,-1.343,0
-1.343,-1.654,0.094,2.869,-0.227,1.3897,-1.704,0
-1.704,-1.343,-1.654,0.094,2.869,1.4972,0.362,1
0.362,-1.704,-1.343,-1.654,0.094,1.5526,-1.67,0
-1.67,0.362,-1.704,-1.343,-1.654,1.5137,-0.267,0
-0.267,-1.67,0.362,-1.704,-1.343,2.01429,1.758,1
1.758,-0.267,-1.67,0.362,-1.704,1.9086,-0.083,0
-0.083,1.758,-0.267,-1.67,0.362,2.117,-2.139,0
-2.139,-0.083,1.758,-0.267,-1.67,1.4255,-2.123,0
-2.123,-2.139,-0.083,1.758,-0.267,1.823,0.622,1
0.622,-2.123,-2.139,-0.083,1.758,1.5278,3.673,1
3.673,0.622,-2.123,-2.139,-0.083,0.6994,-1.218,0
-1.218,3.673,0.622,-2.123,-2.139,1.1844,-2.472,0
-2.472,-1.218,3.673,0.622,-2.123,1.3489,-3.396,0
-3.396,-2.472,-1.218,3.673,0.622,1.8169,0.75,1
0.75,-3.396,-2.472,-1.218,3.673,2.08048,-0.645,0
-0.645,0.75,-3.396,-2.472,-1.218,1.6074,-0.376,0
-0.376,-0.645,0.75,-3.396,-2.472,2.5748,-1.851,0
-1.851,-0.376,-0.645,0.75,-3.396,1.8437,0.566,1
0.566,-1.851,-0.376,-0.645,0.75,2.5665,-2.702,0
-2.702,0.566,-1.851,-0.376,-0.645,1.7363,-3.835,0
-3.835,-2.702,0.566,-1.851,-0.376,2.6541,-3.291,0
-3.291,-3.835,-2.702,0.566,-1.851,2.24806,-2.702,0
-2.702,-3.291,-3.835,-2.702,0.566,2.44102,5.733,1
5.733,-2.702,-3.291,-3.835,-2.702,2.77556,-0.563,0
-0.563,5.733,-2.702,-3.291,-3.835,2.4247,1.688,1
1.688,-0.563,5.733,-2.702,-3.291,1.7961,5.408,1
5.408,1.688,-0.563,5.733,-2.702,1.77865,0.425,1
0.425,5.408,1.688,-0.563,5.733,1.82609,0.979,1
0.979,0.425,5.408,1.688,-0.563,2.04936,-2.957,0
-2.957,0.979,0.425,5.408,1.688,1.6722,-2.308,0
-2.308,-2.957,0.979,0.425,5.408,1.5381,-3.43,0
-3.43,-2.308,-2.957,0.979,0.425,1.4255,2.992,1
2.992,-3.43,-2.308,-2.957,0.979,1.5141,2.001,1
2.001,2.992,-3.43,-2.308,-2.957,1.4904,3.272,1
3.272,2.001,2.992,-3.43,-2.308,1.6467,0.351,1
0.351,3.272,2.001,2.992,-3.43,1.2949,-0.533,0
-0.533,0.351,3.272,2.001,2.992,1.0365,-2.168,0
-2.168,-0.533,0.351,3.272,2.001,1.2977,4.005,1
4.005,-2.168,-0.533,0.351,3.272,1.5338,1.156,1
1.156,4.005,-2.168,-0.533,0.351,1.5051,-0.159,0
-0.159,1.156,4.005,-2.168,-0.533,1.2653,2.361,1
2.361,-0.159,1.156,4.005,-2.168,1.2998,-1.396,0
-1.396,2.361,-0.159,1.156,4.005,1.3085,1.273,1
1.273,-1.396,2.361,-0.159,1.156,1.3531,1.405,1
1.405,1.273,-1.396,2.361,-0.159,1.373,-2.269,0
-2.269,1.405,1.273,-1.396,2.361,1.0715,0.754,1
0.754,-2.269,1.405,1.273,-1.396,1.0169,-1.385,0
-1.385,0.754,-2.269,1.405,1.273,1.3077,-1.813,0
