id,locus_1,locus_2,locus_3,locus_4,locus_5,locus_6,locus_7,locus_8,locus_9,locus_10,locus_11,locus_12,locus_13,locus_14,locus_15
sample_35,123,236,113,364,424,98,215,172,106,80,121,245,201,264,122
sample_36,123,233,113,364,424,98,215,176,103,78,123,236,205,264,122
sample_37,125,239,109,361,428,104,210,168,100,86,125,236,205,262,124
sample_38,125,245,105,364,426,104,210,164,106,82,127,233,213,272,122
sample_39,125,236,105,368,428,107,210,172,109,80,125,236,213,272,122
sample_40,121,239,105,370,428,101,215,168,100,80,127,239,213,261,124
sample_41,125,236,113,364,422,98,215,164,112,86,125,233,205,266,122
sample_42,123,239,105,364,422,104,210,164,103,86,123,242,205,261,124
sample_43,121,233,113,361,424,98,215,176,103,82,123,239,205,264,122
sample_44,125,239,113,372,428,101,215,176,100,78,125,239,205,262,124
sample_45,121,236,105,368,424,110,215,172,97,84,121,239,209,261,122
sample_46,123,242,101,370,424,104,210,172,103,86,123,236,205,264,124
sample_47,125,239,113,372,428,101,215,164,100,78,127,239,205,261,122
sample_48,125,233,109,370,426,101,210,168,103,78,125,239,209,264,124
sample_49,121,245,105,361,424,98,215,176,103,80,121,236,205,264,122
sample_50,123,239,109,361,426,98,210,176,100,78,123,233,205,264,122
sample_51,121,239,113,364,428,98,215,168,106,80,123,236,205,262,124
sample_52,127,242,101,372,424,104,210,164,97,82,127,242,213,264,122
sample_53,129,236,105,368,424,104,215,172,103,84,119,239,205,261,124
sample_54,127,236,105,370,428,104,215,168,97,78,125,239,205,264,122
sample_55,129,236,109,364,426,98,215,172,109,80,129,242,213,272,122
sample_56,127,239,109,370,428,101,215,168,97,82,127,236,213,261,124
sample_57,121,239,113,361,424,104,215,176,100,78,123,245,205,264,122
sample_58,127,245,109,368,428,104,210,164,109,82,127,245,213,262,122
sample_59,129,245,101,372,426,104,210,172,109,82,125,242,213,272,122
sample_60,121,236,113,361,426,98,215,172,103,80,125,236,205,266,124
sample_61,121,239,105,362,424,110,215,164,97,86,123,236,205,266,122
sample_62,121,236,105,370,422,104,215,168,97,80,129,242,205,261,124
sample_63,125,239,113,372,424,101,215,168,100,82,125,239,205,262,124
sample_64,121,236,105,364,426,104,210,172,106,82,123,233,205,262,122
sample_65,125,239,109,370,428,104,215,168,106,80,125,239,209,264,124
sample_66,119,233,113,364,424,104,210,172,106,86,119,233,205,266,124
sample_67,127,239,109,372,428,101,215,164,97,82,127,239,205,264,124
sample_68,127,239,109,370,428,101,215,168,100,78,127,236,213,262,124
sample_69,125,245,109,372,428,107,215,168,103,80,123,239,205,262,124
sample_70,123,239,113,362,426,107,210,164,112,80,123,239,213,262,124
sample_71,127,242,101,364,428,104,210,164,112,82,127,233,213,272,122
sample_72,125,245,109,364,426,101,210,164,103,82,129,245,213,272,122
sample_73,121,236,113,361,422,107,210,164,97,82,125,242,205,262,122
sample_74,119,236,109,361,422,101,210,172,106,86,121,239,213,264,122
sample_75,125,245,105,364,428,104,210,172,106,82,129,245,213,272,122
sample_76,125,245,109,366,426,107,210,164,109,82,125,245,209,272,124
sample_77,125,239,105,370,426,101,215,168,100,78,129,245,205,262,124
sample_78,125,242,109,372,428,104,215,172,100,80,125,239,205,261,124
sample_79,129,239,105,370,428,104,215,168,103,80,125,239,205,262,124
sample_80,127,242,109,370,428,104,210,172,109,82,125,236,209,272,122
sample_81,127,242,101,362,426,107,210,164,109,82,127,233,213,268,122
sample_82,121,236,105,362,422,98,215,172,109,82,125,233,205,264,124
sample_83,129,236,105,368,422,104,215,168,106,80,125,239,213,261,124
sample_84,123,233,109,362,424,98,210,176,103,84,123,239,201,262,122
sample_85,125,233,109,368,428,101,215,164,97,80,129,239,205,264,124
sample_86,127,236,105,372,426,104,215,168,103,82,125,239,209,261,124
sample_87,129,239,105,372,422,104,215,168,100,82,129,239,209,261,124
sample_88,125,236,109,370,428,104,215,164,100,80,129,245,205,264,124
sample_89,125,233,109,366,428,104,215,168,97,86,123,236,209,268,124
sample_90,121,233,113,361,424,104,215,176,100,80,123,233,205,262,122
sample_91,129,242,109,372,428,104,210,164,106,82,129,245,213,272,122
sample_92,123,233,113,370,424,104,215,172,100,78,125,239,205,262,124
sample_93,121,245,105,361,424,98,210,172,103,80,125,239,205,264,124
sample_94,125,239,109,370,424,104,215,172,97,82,123,233,213,262,122
sample_95,125,239,109,372,428,104,215,172,103,80,123,239,209,261,124
sample_96,121,239,105,368,426,107,210,172,100,84,123,233,209,262,124
sample_97,129,233,105,366,422,107,215,168,112,82,129,236,201,270,124
sample_98,119,236,113,361,424,98,210,176,103,82,123,245,205,262,122
sample_99,121,239,113,368,422,107,210,176,106,84,125,236,213,264,124
sample_100,119,233,101,362,428,107,210,168,109,84,123,233,209,264,124
sample_101,127,233,105,372,422,104,215,172,97,78,125,239,205,262,122
sample_102,123,233,105,361,426,107,210,164,106,80,121,233,205,270,124
sample_103,125,242,101,364,426,101,210,172,103,82,129,233,213,266,124
sample_104,119,239,113,368,428,107,210,172,100,86,125,239,213,266,124
sample_105,123,233,113,361,424,98,210,176,100,82,121,242,205,264,122
sample_106,121,233,113,362,424,104,215,176,103,82,123,242,205,262,124
sample_107,127,242,101,364,428,104,210,164,103,82,125,242,213,272,122
sample_108,123,239,109,362,424,98,215,176,103,78,123,245,205,264,124
sample_109,123,233,101,364,428,107,210,176,103,86,123,236,205,266,124
sample_110,123,236,113,368,424,104,210,172,103,82,121,236,201,264,124
sample_111,119,236,105,361,426,107,210,172,109,86,121,239,205,261,122
sample_112,119,236,105,362,424,101,210,172,109,86,129,239,205,264,122
sample_113,125,239,113,372,424,104,215,172,103,78,129,239,209,262,124
sample_114,129,245,109,364,428,110,210,164,100,82,127,245,209,272,124
sample_115,129,245,109,372,428,107,210,164,109,82,127,239,209,262,122
sample_116,125,233,109,370,426,101,215,168,97,78,127,239,209,264,124
sample_117,125,239,105,372,426,101,215,172,106,80,127,239,213,262,124
sample_118,125,245,109,364,428,98,210,168,109,80,127,245,209,266,122
sample_119,123,239,105,361,424,98,215,172,103,78,121,236,205,264,122
sample_120,123,233,105,361,424,98,215,172,106,78,121,236,205,264,122
sample_121,127,245,109,362,424,107,210,172,100,80,129,245,213,272,122
sample_122,119,242,105,364,428,107,210,172,109,86,121,233,201,264,124
sample_123,129,233,109,372,424,107,215,172,106,80,127,236,205,261,122
sample_124,127,242,105,372,428,104,210,168,109,82,127,233,213,272,124
sample_125,119,236,109,370,428,107,210,172,109,86,121,233,213,264,122
sample_126,125,239,105,368,426,101,215,164,100,78,127,242,213,261,124
sample_127,123,233,113,364,424,98,215,172,100,78,123,236,205,261,122
sample_128,125,242,105,370,422,104,215,172,103,86,121,239,205,264,122
sample_129,121,233,113,364,428,107,210,172,106,84,125,236,209,270,124
sample_130,125,242,105,370,428,107,210,159,109,84,125,245,213,262,122
sample_131,123,236,109,364,428,107,210,172,106,84,123,233,205,266,124
sample_132,123,233,109,366,426,107,210,172,106,82,121,239,205,262,122
sample_133,123,239,105,370,428,110,210,159,100,84,125,233,205,262,124
sample_134,121,233,105,362,424,104,210,172,103,84,121,245,205,262,122
sample_135,129,239,105,372,424,101,215,164,103,82,125,239,213,261,124
sample_136,127,242,105,362,428,104,210,164,109,84,129,245,213,272,124
sample_137,123,233,109,361,424,98,210,176,100,78,125,236,205,264,122
sample_138,123,245,105,361,424,104,210,176,100,82,123,236,201,262,122
sample_139,125,239,109,370,426,101,210,172,106,80,123,242,209,261,124
sample_140,127,245,101,366,428,110,210,159,109,80,125,242,213,268,122
sample_141,125,239,105,372,426,101,215,172,100,78,129,239,209,262,124
sample_142,121,233,109,361,426,104,210,176,100,82,123,245,205,261,122
sample_143,119,233,109,364,428,98,210,172,97,86,129,236,205,264,124
sample_144,121,239,109,370,422,101,215,164,100,80,125,239,205,261,124
sample_145,129,239,105,368,422,104,210,172,106,86,125,236,205,264,122
sample_146,119,236,105,362,426,101,215,172,103,82,125,233,205,262,122
sample_147,127,239,105,372,422,104,215,168,103,80,127,239,209,262,122
sample_148,125,245,101,372,428,107,210,164,103,82,125,242,213,264,122
sample_149,125,245,105,364,428,104,210,168,106,82,127,245,213,264,122
sample_150,123,239,101,364,428,107,210,164,103,84,125,242,205,266,124
sample_151,121,233,105,364,426,98,210,172,100,78,121,233,205,264,122
sample_152,129,245,105,362,424,110,210,164,109,82,127,242,209,272,122
sample_153,119,236,105,361,428,107,215,176,112,80,125,239,205,268,122
sample_154,119,236,105,364,426,104,210,159,109,86,119,239,201,264,122
sample_155,121,233,105,361,428,98,215,172,106,80,121,239,205,264,122
sample_156,129,242,101,364,428,110,215,164,106,80,129,242,213,262,122
sample_157,121,239,105,364,422,107,215,168,100,86,129,239,213,262,124
sample_158,125,239,109,370,428,101,215,164,97,80,127,239,209,261,124
sample_159,129,242,101,370,428,104,210,159,112,80,127,236,205,272,124
sample_160,125,239,105,361,422,107,210,172,109,82,129,236,213,266,124
sample_161,121,236,105,361,426,107,210,164,97,82,123,236,209,261,122
sample_162,119,239,109,362,428,101,215,176,103,82,121,239,205,264,124
sample_163,121,233,113,361,424,98,215,176,100,80,121,242,205,264,122
sample_164,123,233,105,370,428,104,215,172,106,78,127,239,209,262,124
sample_165,119,233,113,361,424,98,210,176,103,82,123,242,205,264,122
sample_166,125,233,101,362,428,107,210,168,109,82,127,242,213,272,122
sample_167,127,233,105,368,424,104,210,164,109,82,127,245,209,272,122
sample_168,123,239,113,361,424,98,215,176,103,80,125,245,205,262,122
sample_169,121,236,105,364,426,101,210,172,100,82,121,239,205,262,124
sample_170,119,236,105,362,428,98,215,172,109,86,121,239,205,266,122
sample_171,129,245,101,362,428,104,210,164,97,82,129,242,213,272,124
sample_172,129,245,105,366,428,110,210,164,109,82,127,233,213,264,122
sample_173,125,245,105,366,428,107,210,172,106,82,129,245,213,268,122
sample_174,127,239,105,370,428,101,215,172,106,78,127,245,205,262,124
sample_175,125,236,109,364,424,104,210,159,112,84,129,233,205,264,124
sample_176,125,239,109,370,424,101,215,172,100,80,125,239,205,261,124
sample_177,119,236,109,368,426,104,215,172,103,86,119,236,205,262,124
sample_178,129,242,101,368,424,107,210,168,106,82,125,245,213,262,122
sample_179,119,233,109,361,424,101,215,176,103,82,123,236,205,262,124
sample_180,121,233,105,361,426,98,210,172,103,82,121,245,205,264,124
sample_181,127,239,105,372,422,101,215,172,100,80,127,239,205,262,124
sample_182,123,233,105,370,422,107,210,168,109,82,125,236,213,264,124
sample_183,121,236,113,361,424,98,210,172,100,82,121,236,205,262,122
sample_184,125,245,105,372,426,101,215,164,100,78,123,245,213,261,124
sample_185,127,239,113,372,426,101,215,164,106,80,125,239,209,264,124
sample_186,125,245,101,362,424,104,210,168,106,80,129,242,209,272,122
sample_187,123,239,105,370,426,110,210,164,106,86,125,239,205,264,124
sample_188,127,239,105,364,426,104,215,164,112,84,127,245,209,270,122
sample_189,127,239,105,370,428,101,215,168,103,82,129,233,205,261,124
sample_190,123,233,105,361,428,98,210,172,100,82,123,233,205,262,122
sample_191,129,242,101,364,428,110,215,168,112,80,125,245,213,264,122
sample_192,125,242,101,364,426,98,210,164,100,82,129,245,209,272,124
sample_193,127,242,105,366,428,107,215,164,109,82,127,242,205,270,124
sample_194,121,236,113,361,424,98,215,172,103,82,123,239,205,262,122
sample_195,123,233,113,361,424,98,215,176,103,84,121,242,205,266,122
sample_196,123,236,113,361,424,98,210,172,103,80,121,236,205,262,122
sample_197,125,242,105,364,428,107,210,159,109,82,129,242,213,272,124
sample_198,125,236,105,370,424,101,215,168,100,78,129,239,209,264,124
sample_199,125,239,109,370,428,101,215,172,103,82,125,239,209,262,124
sample_200,123,239,109,372,428,101,215,168,100,78,125,233,205,261,124
sample_201,125,245,101,366,428,104,215,159,97,82,127,245,213,272,122
sample_202,125,239,105,372,422,98,215,172,100,82,127,239,205,262,124
sample_203,127,242,105,368,428,104,210,172,109,80,127,245,213,272,122
sample_204,121,236,109,361,422,107,210,164,106,86,125,242,209,261,124
sample_205,121,236,105,364,426,110,210,164,106,84,123,239,201,262,124
sample_206,123,233,113,361,424,98,210,172,103,78,121,242,201,262,124
sample_207,119,236,105,368,424,107,210,172,106,86,125,239,201,264,124
sample_208,129,239,109,370,422,101,215,172,103,78,125,239,205,261,124
sample_209,129,242,105,372,426,107,210,168,109,82,125,236,209,272,122
sample_210,121,233,113,361,424,98,210,172,106,82,123,242,205,261,124
sample_211,121,236,113,361,424,101,215,172,103,80,123,245,205,264,122
sample_212,121,233,109,364,422,101,210,164,106,84,121,236,205,264,124
sample_213,125,242,101,368,428,104,210,164,109,82,127,242,209,272,122
sample_214,125,239,109,370,422,101,215,172,106,80,125,239,205,261,122
sample_215,125,245,105,368,428,110,210,164,103,84,129,233,213,272,122
sample_216,127,245,101,372,424,104,210,164,109,82,125,245,209,272,122
sample_217,119,236,109,362,422,98,210,164,103,84,121,236,205,264,122
sample_218,127,245,101,366,428,101,215,164,109,80,127,242,213,272,122
sample_219,121,233,113,361,428,104,215,176,103,80,121,233,205,262,122
sample_220,129,245,109,372,428,104,210,164,109,80,125,233,213,266,122
sample_221,127,236,101,372,428,104,210,164,109,80,129,245,213,272,122
sample_222,129,233,113,364,428,107,215,172,97,84,127,236,213,261,124
sample_223,125,242,101,362,428,110,210,164,106,82,127,233,209,268,122
sample_224,125,239,109,372,426,101,215,168,100,78,129,245,209,261,124
sample_225,125,233,109,366,426,107,215,164,109,86,125,236,205,264,124
sample_226,125,236,109,364,426,104,210,168,109,80,127,236,213,272,122
sample_227,129,239,109,372,422,104,215,172,100,78,129,242,209,261,122
sample_228,123,242,101,361,428,107,210,172,106,82,123,236,209,262,124
sample_229,125,245,101,364,428,104,210,164,103,82,125,245,213,270,122
sample_230,123,236,105,361,424,98,210,172,103,78,121,245,205,264,124
sample_231,123,239,105,372,428,101,215,168,97,82,125,239,213,262,124
sample_232,123,239,105,372,428,104,215,168,97,80,127,239,205,262,124
sample_233,125,239,105,370,428,101,215,172,100,78,123,239,213,261,124
sample_234,127,242,101,366,428,101,210,164,112,82,125,242,213,268,124
sample_235,129,245,105,370,428,104,210,164,103,82,129,245,205,272,124
sample_236,119,239,109,361,428,101,210,172,109,86,121,236,205,270,124
sample_237,121,239,109,370,422,104,215,159,100,80,125,239,205,261,124
sample_238,123,236,113,361,424,98,210,176,106,78,121,239,205,262,124
sample_239,127,245,101,368,426,107,210,164,109,84,125,236,213,272,122
sample_240,121,236,105,361,424,104,210,172,106,84,127,233,209,266,124
sample_241,119,239,109,370,428,107,210,172,97,86,119,236,205,268,124
sample_242,119,239,113,361,424,101,210,172,97,80,121,239,213,264,122
sample_243,125,239,113,372,424,98,215,172,103,80,127,239,205,264,124
sample_244,121,233,105,364,424,107,210,172,106,84,125,239,213,262,122
sample_245,123,236,113,361,424,98,215,176,103,82,123,233,205,261,124
sample_246,129,239,105,372,428,107,215,168,103,82,125,233,205,262,124
sample_247,127,245,101,372,428,107,215,164,100,82,127,245,209,270,122
sample_248,125,245,109,372,426,104,215,164,103,78,123,239,213,262,124
sample_249,119,239,109,364,428,107,210,172,112,86,123,233,205,268,124
sample_250,121,239,113,370,426,107,215,164,97,78,123,239,209,262,124
sample_251,129,239,109,370,428,104,215,168,103,82,127,239,209,261,124
sample_252,125,236,113,370,422,101,215,164,100,80,125,239,213,264,122
sample_253,119,236,109,368,424,104,215,176,106,82,119,236,205,266,122
sample_254,127,233,113,370,426,104,215,172,106,80,125,239,209,262,124
sample_255,123,242,105,368,428,107,210,164,109,80,125,239,213,262,122
sample_256,127,239,109,370,422,104,210,172,97,78,125,239,205,262,124
sample_257,127,236,109,372,428,104,215,168,100,78,127,242,205,264,122
sample_258,127,242,101,362,428,104,210,164,100,82,129,233,213,262,122
sample_259,125,242,105,366,428,107,210,172,109,82,127,245,213,270,122
sample_260,127,236,105,364,428,107,210,164,112,82,125,242,213,262,122
sample_261,119,236,105,370,428,104,210,176,106,86,129,242,205,264,124
sample_262,121,236,109,361,422,104,215,159,112,86,127,239,205,264,122
sample_263,123,239,105,368,426,107,215,172,109,84,121,236,205,262,124
sample_264,123,239,105,364,422,107,210,159,106,84,121,233,213,262,124
sample_265,125,239,109,372,422,104,215,168,106,80,125,245,205,262,124
sample_266,121,239,113,372,426,101,215,168,100,80,127,245,205,262,124
sample_267,127,233,105,364,428,98,210,172,106,82,127,242,213,272,122
sample_268,127,245,105,364,426,104,210,164,109,80,125,239,209,272,122
sample_269,129,233,105,366,428,107,215,159,109,82,127,242,209,272,122
sample_270,129,236,113,362,428,104,210,164,106,80,125,233,213,262,124
sample_271,129,245,101,364,428,104,210,164,103,84,125,239,205,272,124
sample_272,121,233,113,364,424,101,215,172,103,80,125,233,205,264,122
sample_273,127,245,101,364,428,104,215,164,106,82,129,245,213,264,122
sample_274,125,239,105,372,424,101,215,172,100,78,127,239,213,261,124
sample_275,123,233,105,364,426,110,215,164,109,82,127,236,205,264,122
sample_276,125,239,105,370,426,104,215,168,103,82,125,239,205,262,124
sample_277,129,236,105,364,428,101,210,164,109,82,125,245,213,272,122
sample_278,125,239,109,370,428,101,210,168,100,80,127,239,205,262,124
sample_279,125,239,113,370,426,98,215,168,100,78,127,239,205,261,124
sample_280,121,233,105,364,424,107,210,159,106,82,123,239,213,262,124
sample_281,125,245,109,370,422,107,215,176,100,78,125,239,205,262,124
sample_282,129,239,109,372,428,101,215,172,100,80,125,242,209,261,122
sample_283,125,242,105,364,426,101,210,164,109,82,129,242,213,266,122
sample_284,127,236,105,372,422,101,210,168,97,82,125,236,209,262,124
sample_285,121,242,101,362,426,107,210,159,106,86,123,233,209,262,124
sample_286,129,245,105,364,426,107,215,164,109,82,125,242,213,266,122
sample_287,125,245,105,368,424,107,210,172,106,82,125,233,213,268,122
sample_288,119,239,109,364,424,107,215,168,103,82,119,236,205,264,124
sample_289,121,236,105,361,428,110,210,164,106,86,123,242,209,262,122
sample_290,129,245,105,364,428,98,210,164,100,82,129,242,209,266,124
sample_291,123,236,109,364,426,101,210,168,109,82,123,236,209,262,124
sample_292,123,239,101,366,422,104,210,172,106,84,119,233,205,262,124
sample_293,127,239,105,372,422,101,215,168,97,78,127,236,213,261,124
sample_294,129,236,105,364,424,110,215,172,106,86,119,236,209,266,124
sample_295,119,236,109,361,426,98,215,164,106,86,125,236,205,262,124
sample_296,129,245,109,368,426,104,210,164,106,82,129,245,213,270,122
sample_297,119,236,105,364,426,110,210,172,103,84,125,233,205,261,124
sample_298,127,233,109,364,428,104,210,164,109,82,125,239,213,272,124
sample_299,121,239,105,368,424,104,215,172,106,78,127,239,205,261,124
sample_300,119,236,105,370,428,104,215,172,109,86,123,242,201,262,124
sample_301,125,239,105,372,422,98,215,168,100,80,125,239,205,262,124
sample_302,125,239,105,372,428,101,215,164,100,78,125,233,205,261,124
sample_303,129,245,109,372,428,104,210,164,97,80,129,233,213,272,122
sample_304,125,236,109,370,428,101,210,164,109,80,127,242,209,272,124
sample_305,121,236,105,361,424,101,215,172,103,80,121,233,205,266,124
sample_306,129,239,113,368,426,101,215,172,106,78,123,239,209,262,122
sample_307,121,233,105,364,422,104,210,172,106,86,121,239,205,261,124
sample_308,129,233,105,372,428,104,210,159,97,82,129,245,213,272,122
sample_309,121,236,105,364,422,107,215,176,97,80,121,233,201,264,122
sample_310,121,239,109,372,428,101,215,172,97,78,129,239,209,261,122
sample_311,129,239,109,370,426,101,215,168,100,80,125,236,209,264,124
sample_312,119,236,105,368,426,107,210,164,106,82,121,239,209,266,122
sample_313,121,236,105,364,424,101,210,172,103,86,123,236,209,264,124
sample_314,121,236,113,361,424,98,215,176,103,80,121,245,205,262,122
sample_315,129,242,105,364,428,107,210,164,97,82,129,242,209,272,124
sample_316,123,236,109,364,424,98,210,176,100,82,123,239,205,264,122
sample_317,127,239,109,370,422,104,215,164,103,80,127,239,205,262,124
sample_318,121,239,105,364,424,107,210,176,109,86,121,239,201,268,124
sample_319,127,245,101,372,428,107,210,164,109,82,125,236,213,270,122
sample_320,121,239,113,361,424,98,215,172,103,84,125,233,205,264,122
sample_321,129,239,109,368,422,104,210,164,100,86,119,236,205,264,124
sample_322,123,233,113,361,424,98,215,172,103,80,125,245,205,264,124
sample_323,127,245,105,364,428,107,210,164,106,80,129,236,205,272,122
sample_324,123,239,109,364,426,104,215,168,103,84,127,236,205,268,122
sample_325,127,245,109,364,428,107,210,164,109,82,129,245,205,262,124
sample_326,123,239,105,361,426,98,210,176,106,78,123,239,205,264,122
sample_327,123,239,109,372,428,101,215,168,106,82,125,239,213,264,124
sample_328,127,239,105,372,422,107,215,172,100,82,127,239,209,262,124
sample_329,129,236,105,370,428,104,215,159,100,86,127,236,205,266,124
sample_330,125,245,105,364,428,98,210,172,97,82,129,233,213,272,122
sample_331,121,233,105,364,424,98,215,176,100,80,121,236,205,262,122
sample_332,127,242,101,372,428,104,210,168,112,84,129,245,213,272,122
sample_333,119,236,105,362,424,107,215,176,106,86,123,236,209,268,124
sample_334,119,236,109,364,426,107,215,159,100,86,121,233,205,264,124
sample_335,123,236,105,364,426,107,210,164,106,82,125,236,205,262,124
sample_336,121,239,109,372,426,101,215,172,100,82,127,239,209,262,124
sample_337,121,233,105,361,428,98,210,168,106,82,123,236,205,270,124
sample_338,125,239,109,372,422,104,215,168,100,80,129,239,205,261,124
sample_339,125,233,113,370,422,101,215,168,100,80,125,233,205,262,122
sample_340,125,236,109,370,424,107,215,172,100,80,123,239,209,261,124
sample_341,129,239,105,368,428,110,210,164,112,84,127,245,213,268,122
sample_342,127,236,109,364,426,107,215,164,106,80,125,242,213,266,122
sample_343,125,239,113,370,426,101,215,172,103,78,127,236,209,261,124
sample_344,123,236,113,361,424,98,215,176,100,82,123,245,205,264,124
sample_345,125,239,105,372,426,101,215,172,100,78,129,239,209,261,124
sample_346,125,245,113,370,426,104,215,164,106,82,129,239,209,261,124
sample_347,125,242,109,368,428,104,210,164,112,82,129,245,213,272,122
sample_348,125,242,105,361,426,98,210,176,106,84,121,233,201,262,122
sample_349,125,239,109,372,428,104,215,168,103,78,125,239,205,261,124
sample_350,129,242,105,364,428,101,210,159,106,82,127,233,213,268,122
sample_351,129,236,105,370,426,104,215,159,100,82,127,236,209,264,124
sample_352,127,242,105,364,426,104,210,172,109,82,129,245,209,272,122
sample_353,121,236,113,362,428,107,215,172,100,86,125,236,213,262,122
sample_354,123,236,109,361,424,104,215,176,100,82,125,245,205,264,122
sample_355,125,245,105,372,428,110,210,164,109,80,127,239,205,268,122
sample_356,127,242,101,366,428,107,215,164,106,82,129,242,213,272,122
sample_357,121,233,109,364,424,98,215,176,106,78,121,233,201,264,122
sample_358,125,239,109,370,422,104,215,172,106,78,127,239,209,262,124
sample_359,119,239,113,361,424,98,215,176,103,84,123,242,205,264,122
sample_360,125,233,101,370,424,104,210,164,109,82,129,239,209,272,122
sample_361,125,245,105,370,428,101,215,168,103,80,129,239,213,264,124
sample_362,125,233,113,370,422,101,215,168,100,78,125,239,205,261,124
sample_363,121,239,113,368,428,101,210,164,103,80,125,233,205,261,124
sample_364,129,236,109,370,426,101,215,164,103,78,123,239,209,261,124
sample_365,123,245,105,361,424,98,215,176,100,80,121,245,205,261,122
sample_366,127,233,113,372,426,101,215,168,97,78,125,236,209,261,124
sample_367,129,245,105,372,428,104,215,164,109,80,127,239,213,264,122
sample_368,119,233,105,364,428,107,210,172,106,86,129,239,209,262,124
sample_369,119,239,105,364,422,110,210,172,106,86,119,242,205,261,124
sample_370,121,239,105,364,426,107,215,172,106,86,125,239,209,262,124
sample_371,125,242,105,364,428,104,210,164,109,82,127,233,213,266,122
sample_372,121,239,109,361,424,98,215,176,100,82,121,245,201,264,124
sample_373,125,239,109,372,422,104,215,164,97,78,127,239,209,261,124
sample_374,123,236,113,361,424,104,215,176,103,78,121,236,201,264,122
sample_375,121,233,113,361,424,98,215,172,103,84,125,233,205,264,122
sample_376,123,239,109,361,424,104,215,176,100,78,125,239,205,262,124
sample_377,125,245,101,362,428,101,210,164,109,80,129,242,213,272,122
sample_378,119,239,105,370,428,98,210,172,106,82,121,239,205,262,124
sample_379,121,233,113,361,424,98,210,172,100,80,123,245,205,264,124
sample_380,121,239,105,364,426,107,210,159,106,82,121,239,205,262,124
sample_381,121,236,105,361,424,104,215,172,100,82,121,245,205,262,122
sample_382,127,245,101,364,428,101,210,159,109,80,129,242,213,270,122
sample_383,129,239,105,370,428,98,215,168,103,78,129,239,205,264,124
sample_384,127,233,105,364,428,98,210,164,109,80,127,245,209,262,122
sample_385,121,233,109,361,424,98,210,176,103,78,121,233,205,262,122
sample_386,121,239,113,368,428,110,215,172,97,86,123,233,209,268,124
sample_387,129,239,105,368,424,104,215,176,106,82,125,239,209,264,124
sample_388,119,236,113,361,424,98,215,176,103,80,123,233,205,261,122
sample_389,125,239,109,372,428,101,215,168,97,78,125,239,209,261,124
sample_390,121,233,105,366,426,107,210,176,112,82,121,236,209,266,124
sample_391,125,239,113,372,424,101,215,168,103,80,129,236,205,261,124
sample_392,125,245,105,372,428,104,215,164,109,82,129,242,213,272,124
sample_393,127,242,101,364,426,104,210,164,103,82,127,245,213,272,122
sample_394,123,239,105,364,426,98,210,168,100,86,121,233,205,268,124
sample_395,127,233,105,368,426,104,210,168,103,82,129,242,213,264,122
